# Sampled DOM angular sensitivity curve, as.h2-50cm model
# coszen,sensitivity
-1.000000000000000000e+00,4.609999999999336850e-03
-9.799999999999999822e-01,5.338354394353372889e-03
-9.599999999999999645e-01,5.495898836835988455e-03
-9.399999999999999467e-01,5.514292159418898720e-03
-9.200000000000000400e-01,5.726795558450514800e-03
-9.000000000000000222e-01,6.379849022749739529e-03
-8.800000000000000044e-01,7.644301785213747369e-03
-8.599999999999999867e-01,9.626188011580605330e-03
-8.399999999999999689e-01,1.237695744600661452e-02
-8.200000000000000622e-01,1.590308791775274511e-02
-8.000000000000000444e-01,2.017502251519982803e-02
-7.800000000000000266e-01,2.513538889143288046e-02
-7.600000000000000089e-01,3.070647161854135609e-02
-7.399999999999999911e-01,3.679692079433451168e-02
-7.199999999999999734e-01,4.330769126411551651e-02
-6.999999999999999556e-01,5.013721689035004203e-02
-6.799999999999999378e-01,5.718583332318741275e-02
-6.599999999999999201e-01,6.435947073368204763e-02
-6.400000000000000133e-01,7.157264500797190510e-02
-6.199999999999999956e-01,7.875078200338210543e-02
-5.999999999999999778e-01,8.583191467519996065e-02
-5.800000000000000711e-01,9.276779723450223614e-02
-5.600000000000000533e-01,9.952448403166888613e-02
-5.400000000000000355e-01,1.060824236158791900e-01
-5.200000000000000178e-01,1.124361204367104877e-01
-5.000000000000000000e-01,1.185934179687500034e-01
-4.799999999999999822e-01,1.245744576926316599e-01
-4.599999999999999645e-01,1.304103683949253967e-01
-4.399999999999999467e-01,1.361417396935885038e-01
-4.200000000000000400e-01,1.418169325940295267e-01
-4.000000000000000222e-01,1.474902782719999805e-01
-3.800000000000000044e-01,1.532202142022970059e-01
-3.599999999999999867e-01,1.590674042454078285e-01
-3.399999999999999689e-01,1.650928864065248636e-01
-3.199999999999999512e-01,1.713562887315887850e-01
-2.999999999999999334e-01,1.779141502419500087e-01
-2.800000000000000266e-01,1.848183799716487385e-01
-2.600000000000000089e-01,1.921148830979810262e-01
-2.399999999999999911e-01,1.998423788857127681e-01
-2.199999999999999734e-01,2.080314307368056059e-01
-1.999999999999999556e-01,2.167037040895999911e-01
-1.799999999999999378e-01,2.258714632828374425e-01
-1.600000000000000311e-01,2.355373138294732105e-01
-1.400000000000000133e-01,2.456941918717060191e-01
-1.199999999999999956e-01,2.563255979508077265e-01
-9.999999999999997780e-02,2.674060676619499644e-01
-7.999999999999996003e-02,2.789018673140726823e-01
-5.999999999999994227e-02,2.907718984166917098e-01
-4.000000000000003553e-02,3.029687907081825560e-01
-2.000000000000001776e-02,3.154401595622721710e-01
0.000000000000000000e+00,3.281299999999999772e-01
2.000000000000001776e-02,3.409801862320500088e-01
4.000000000000003553e-02,3.539320426998782687e-01
6.000000000000005329e-02,3.669279500122423765e-01
8.000000000000007105e-02,3.799129470253600482e-01
1.000000000000000888e-01,3.928362886287500300e-01
1.200000000000001066e-01,4.056529176136257075e-01
1.400000000000001243e-01,4.183248083552844054e-01
1.599999999999999201e-01,4.308221399740495561e-01
1.799999999999999378e-01,4.431242571897465732e-01
1.999999999999999556e-01,4.552203782911999896e-01
2.199999999999999734e-01,4.671100115436194189e-01
2.399999999999999911e-01,4.788030439917462799e-01
2.600000000000000089e-01,4.903194700240590675e-01
2.800000000000000266e-01,5.016887312819489075e-01
3.000000000000000444e-01,5.129486445663501426e-01
3.200000000000000622e-01,5.241439003516259465e-01
3.400000000000000799e-01,5.353241214013414462e-01
3.600000000000000977e-01,5.465414788316662609e-01
3.800000000000001155e-01,5.578478718243478074e-01
4.000000000000001332e-01,5.692916870912000382e-01
4.199999999999999289e-01,5.809141651747128376e-01
4.399999999999999467e-01,5.927454127734020917e-01
4.599999999999999645e-01,6.048001135447218513e-01
4.799999999999999822e-01,6.170730043015069111e-01
5.000000000000000000e-01,6.295341992187497571e-01
5.200000000000000178e-01,6.421244616448886777e-01
5.400000000000000355e-01,6.547505414043723881e-01
5.600000000000000533e-01,6.672807151249504631e-01
5.800000000000000711e-01,6.795406881625878359e-01
6.000000000000000888e-01,6.913100391680000456e-01
6.200000000000001066e-01,7.023194122802162154e-01
6.400000000000001243e-01,7.122486873831831433e-01
6.600000000000001421e-01,7.207263858599102235e-01
6.799999999999999378e-01,7.273305978638595626e-01
6.999999999999999556e-01,7.315917473379500713e-01
7.199999999999999734e-01,7.329975428864569098e-01
7.399999999999999911e-01,7.310004961830262049e-01
7.600000000000000089e-01,7.250284249177431084e-01
7.800000000000000266e-01,7.144983943865067522e-01
8.000000000000000444e-01,6.988345907455998374e-01
8.200000000000000622e-01,6.774906597321210810e-01
8.400000000000000799e-01,6.499770873256113246e-01
8.600000000000000977e-01,6.158942434365429763e-01
8.800000000000001155e-01,5.749717562921319303e-01
9.000000000000001332e-01,5.271149337879497132e-01
9.199999999999999289e-01,4.724589987238075328e-01
9.399999999999999467e-01,4.114319575831808518e-01
9.599999999999999645e-01,3.448269773857878251e-01
9.799999999999999822e-01,2.738852021815531002e-01
1.000000000000000000e+00,2.003900000000002901e-01
