# Sampled DOM angular sensitivity curve, as.nominal model
# coszen,sensitivity
-1.000000000000000000e+00,6.100000000002214762e-04
-9.799999999999999822e-01,7.718021590138457455e-04
-9.599999999999999645e-01,8.426453059658944866e-04
-9.399999999999999467e-01,8.803396092982862520e-04
-9.200000000000000400e-01,9.509571067232713837e-04
-9.000000000000000222e-01,1.122789598968942926e-03
-8.800000000000000044e-01,1.461772921522025426e-03
-8.599999999999999867e-01,2.028162255624743615e-03
-8.399999999999999689e-01,2.874263478343408451e-03
-8.200000000000000622e-01,4.043044735749123930e-03
-8.000000000000000444e-01,5.567470483455960739e-03
-7.800000000000000266e-01,7.470417205241650094e-03
-7.600000000000000089e-01,9.765045923544081463e-03
-7.399999999999999911e-01,1.245552148561598904e-02
-7.199999999999999734e-01,1.553798247629615756e-02
-6.999999999999999556e-01,1.900167850308102577e-02
-6.799999999999999378e-01,2.283020355172022189e-02
-6.599999999999999201e-01,2.700276515125125953e-02
-6.400000000000000133e-01,3.149543924653461918e-02
-6.199999999999999956e-01,3.628236998425586612e-02
-5.999999999999999778e-01,4.133688210534402357e-02
-5.800000000000000711e-01,4.663248133312163785e-02
-5.600000000000000533e-01,5.214372508256219507e-02
-5.400000000000000355e-01,5.784695202209366727e-02
-5.200000000000000178e-01,6.372086452576897209e-02
-5.000000000000000000e-01,6.974696289062499999e-02
-4.799999999999999822e-01,7.590983439199315563e-02
-4.599999999999999645e-01,8.219730383870700596e-02
-4.399999999999999467e-01,8.860045530089187549e-02
-4.200000000000000400e-01,9.511353714562620354e-02
-4.000000000000000222e-01,1.017337644605439823e-01
-3.800000000000000044e-01,1.084610344027133882e-01
-3.599999999999999867e-01,1.152975710101884071e-01
-3.399999999999999689e-01,1.222475165867971947e-01
-3.199999999999999512e-01,1.293164869473153733e-01
-2.999999999999999334e-01,1.365111076204810203e-01
-2.800000000000000266e-01,1.438385475816556514e-01
-2.600000000000000089e-01,1.513060662556274527e-01
-2.399999999999999911e-01,1.589205884234034527e-01
-2.199999999999999734e-01,1.666883203151524606e-01
-1.999999999999999556e-01,1.746144186050560543e-01
-1.799999999999999378e-01,1.827027222730031875e-01
-1.600000000000000311e-01,1.909555553931452931e-01
-1.400000000000000133e-01,1.993736068806102324e-01
-1.199999999999999956e-01,2.079558911054804060e-01
-9.999999999999997780e-02,2.166997910977689346e-01
-7.999999999999996003e-02,2.256011838488990451e-01
-5.999999999999994227e-02,2.346546449944046653e-01
-4.000000000000003553e-02,2.438537279695520421e-01
-2.000000000000001776e-02,2.531913105946197451e-01
0.000000000000000000e+00,2.626600000000000046e-01
2.000000000000001776e-02,2.722525848733952092e-01
4.000000000000003553e-02,2.819625222324932401e-01
6.000000000000005329e-02,2.917844443269215216e-01
8.000000000000007105e-02,3.017146698833247376e-01
1.000000000000000888e-01,3.117517027573690758e-01
1.200000000000001066e-01,3.218967001766915303e-01
1.400000000000001243e-01,3.321538921795648691e-01
1.599999999999999201e-01,3.425309336056645559e-01
1.799999999999999378e-01,3.530391701081156408e-01
1.999999999999999556e-01,3.636938001602559312e-01
2.199999999999999734e-01,3.745139159566164277e-01
2.399999999999999911e-01,3.855224074857715455e-01
2.600000000000000089e-01,3.967457159132837807e-01
2.800000000000000266e-01,4.082134247862496124e-01
3.000000000000000444e-01,4.199576804872810487e-01
3.200000000000000622e-01,4.320124368554094652e-01
3.400000000000000799e-01,4.444125229847160075e-01
3.600000000000000977e-01,4.571925379387600796e-01
3.800000000000001155e-01,4.703855815104280857e-01
4.000000000000001332e-01,4.840218362429440924e-01
4.199999999999999289e-01,4.981270227388056027e-01
4.399999999999999467e-01,5.127207578496265628e-01
4.599999999999999645e-01,5.278148536916007494e-01
4.799999999999999822e-01,5.434116045988512944e-01
5.000000000000000000e-01,5.595021191406247540e-01
5.200000000000000178e-01,5.760647652184058831e-01
5.400000000000000355e-01,5.930638080559204051e-01
5.600000000000000533e-01,6.104483336289369122e-01
5.800000000000000711e-01,6.281515637830885623e-01
6.000000000000000888e-01,6.460906839869441365e-01
6.200000000000001066e-01,6.641673203945475112e-01
6.400000000000001243e-01,6.822688196769455260e-01
6.600000000000001421e-01,7.002705029561294703e-01
6.799999999999999378e-01,7.180390841676563829e-01
6.999999999999999556e-01,7.354374633202810374e-01
7.199999999999999734e-01,7.523311264425426304e-01
7.399999999999999911e-01,7.685964065377202115e-01
7.600000000000000089e-01,7.841308836401975624e-01
7.800000000000000266e-01,7.988662271083873945e-01
8.000000000000000444e-01,8.127838096322561601e-01
8.200000000000000622e-01,8.259334501074679924e-01
8.400000000000000799e-01,8.384556715635762547e-01
8.600000000000000977e-01,8.506078907607650397e-01
8.800000000000001155e-01,8.627949879188107074e-01
9.000000000000001332e-01,8.756047383433690490e-01
9.199999999999999289e-01,8.898486224988223503e-01
9.399999999999999467e-01,9.066085673739869844e-01
9.599999999999999645e-01,9.272902098273040350e-01
9.799999999999999822e-01,9.536833120120650209e-01
1.000000000000000000e+00,9.880299999999995197e-01
